transaction_id,user_id,amount,hour,day_of_week,category,age,gender,country,device,payment_method,ip_address,location,transaction_time,item_quantity,shipping_address,browser_info,is_fraud
1,7370,25.39677575217754,7,2,groceries,32,M,USA,desktop,paypal,57.12.140.125,Toronto,2025-10-07 00:00:00,1,Different,Firefox,0.0
2,960,35.794789270487,6,6,groceries,75,F,China,mobile,debit_card,114.71.52.44,Guangzhou,2025-10-07 00:15:00,5,Same as billing,Chrome,0.0
3,5490,21.196131629691354,23,3,home,65,F,UK,desktop,credit_card,216.16.15.47,London,2025-10-07 00:30:00,4,Same as billing,Chrome,0.0
4,5291,35.05127989939776,12,1,groceries,76,M,USA,tablet,debit_card,111.119.13.101,Bangalore,2025-10-07 00:45:00,1,Different,Chrome,0.0
5,5834,6.8268193386068035,23,1,groceries,19,M,India,mobile,credit_card,214.112.229.142,Birmingham,2025-10-07 01:00:00,4,Same as billing,Chrome,0.0
6,6365,22.583884305515188,13,0,groceries,69,F,UK,desktop,crypto,3.81.216.174,Guangzhou,2025-10-07 01:15:00,4,Different,Edge,0.0
7,566,40.58823549349306,17,4,electronics,42,M,Canada,desktop,crypto,142.79.110.172,Bangalore,2025-10-07 01:30:00,6,Same as billing,Edge,0.0
8,4526,41.13527137065506,16,5,electronics,22,M,China,desktop,paypal,52.47.194.49,Lyon,2025-10-07 01:45:00,4,Same as billing,Firefox,0.0
9,5678,37.22669504940626,14,1,books,51,M,Germany,tablet,bank_transfer,183.176.135.22,Bangalore,2025-10-07 02:00:00,5,Same as billing,Firefox,0.0
10,8422,14.190737925643898,9,2,electronics,69,F,Canada,mobile,crypto,235.63.193.40,Berlin,2025-10-07 02:15:00,3,Different,Edge,0.0
11,1785,16.124230351878495,12,6,groceries,56,M,France,tablet,bank_transfer,150.185.98.35,Bangalore,2025-10-07 02:30:00,7,Same as billing,Safari,0.0
12,869,49.82399272690305,22,3,clothing,22,F,France,tablet,credit_card,23.116.148.40,Bangalore,2025-10-07 02:45:00,3,Different,Chrome,0.0
13,7049,9.652010324088195,16,2,electronics,60,M,UK,tablet,bank_transfer,119.51.194.142,Guangzhou,2025-10-07 03:00:00,5,Different,Safari,0.0
14,2533,13.129821450608421,7,1,books,25,M,India,mobile,debit_card,232.186.83.189,Birmingham,2025-10-07 03:15:00,2,Same as billing,Firefox,0.0
15,5411,10.851181504255967,23,1,books,66,F,France,tablet,credit_card,181.107.136.36,London,2025-10-07 03:30:00,8,Same as billing,Safari,0.0
16,5151,19.7444733657627,17,0,toys,31,F,India,mobile,debit_card,87.125.83.236,Berlin,2025-10-07 03:45:00,4,Same as billing,Safari,0.0
17,6520,14.45791258552655,14,2,groceries,46,F,France,mobile,bank_transfer,194.138.112.166,London,2025-10-07 04:00:00,1,Different,Edge,0.0
18,1284,27.395958179649746,16,0,clothing,47,M,India,desktop,debit_card,28.117.16.161,Birmingham,2025-10-07 04:15:00,2,Different,Chrome,0.0
19,4655,26.420931809605396,10,5,clothing,54,M,UK,tablet,credit_card,205.137.33.108,Bangalore,2025-10-07 04:30:00,7,Same as billing,Edge,0.0
20,3485,45.56775287530864,12,2,toys,21,F,UK,tablet,debit_card,161.108.255.202,Berlin,2025-10-07 04:45:00,7,Same as billing,Edge,0.0
21,6496,6.563297635015166,6,4,clothing,52,F,Germany,tablet,bank_transfer,234.73.135.71,Bangalore,2025-10-07 05:00:00,2,Different,Firefox,0.0
22,8766,19.394580950049352,10,5,books,24,M,USA,mobile,debit_card,126.134.219.204,Chicago,2025-10-07 05:15:00,8,Same as billing,Safari,0.0
23,9374,31.84960513986906,11,4,home,43,M,UK,mobile,debit_card,185.112.70.252,Chicago,2025-10-07 05:30:00,1,Different,Edge,0.0
24,2658,32.21607928297837,18,2,books,49,M,India,mobile,paypal,46.24.56.78,Berlin,2025-10-07 05:45:00,4,Same as billing,Edge,0.0
25,7949,26.605680305639414,16,0,electronics,60,M,Germany,tablet,credit_card,81.216.32.197,Berlin,2025-10-07 06:00:00,8,Different,Firefox,0.0
26,2147,41.704949336658515,13,4,home,50,M,Canada,mobile,paypal,195.239.128.5,Chicago,2025-10-07 06:15:00,5,Same as billing,Edge,0.0
