transaction_id,user_id,day_of_week,category,age,gender,country,device,payment_method,ip_address,location,transaction_time,item_quantity,shipping_address,browser_info,amount,hour,is_fraud
1,1107,1,groceries,38,M,Chennai,desktop,wallet,189.225.215.45,Ahmedabad,2025-12-11 03:00:00,1,Different,Safari,3715.6793786992944,8,0.0
2,2810,1,mobile_recharge,46,M,Delhi,desktop,upi,170.118.250.15,Mumbai,2025-11-24 19:00:00,9,Same as billing,Edge,3803.3051216454196,13,0.0
3,2039,5,food_delivery,52,M,Kolkata,mobile,credit_card,123.155.216.56,Chennai,2025-10-25 00:45:00,3,Different,Firefox,1387.8886131460072,19,0.0
4,9308,3,mobile_recharge,45,F,Mumbai,mobile,debit_card,51.194.148.126,Chennai,2025-11-25 09:30:00,7,Different,Edge,4655.062447995158,3,1.0
5,1074,0,books,21,M,Kolkata,desktop,net_banking,29.224.211.132,Chennai,2025-11-23 02:15:00,7,Different,Safari,3795.0798713299337,3,1.0
6,2707,0,electronics,18,F,Chennai,desktop,net_banking,195.74.15.99,Mumbai,2025-12-12 01:00:00,1,Different,Firefox,3944.5704771395,15,0.0
7,9005,1,books,78,M,Mumbai,desktop,debit_card,22.204.169.220,Mumbai,2025-10-13 00:00:00,7,Same as billing,Edge,19775.563109795872,22,0.0
8,9135,2,clothing,73,M,Kolkata,tablet,wallet,45.38.214.1,Kolkata,2025-11-30 04:30:00,1,Different,Firefox,1711.3121091580092,16,0.0
9,6951,6,food_delivery,43,F,Chennai,mobile,credit_card,50.99.195.4,Lucknow,2025-12-12 06:45:00,3,Different,Edge,3415.3669613864467,0,0.0
10,9640,6,groceries,54,M,Delhi,mobile,credit_card,126.142.152.115,Bangalore,2025-10-11 13:45:00,7,Same as billing,Firefox,1777.8876132549713,2,0.0
11,3551,6,electronics,37,M,Kolkata,mobile,net_banking,108.241.192.237,Jaipur,2025-11-04 15:30:00,4,Same as billing,Edge,13880.401236828917,18,0.0
12,420,6,books,67,F,Hyderabad,desktop,credit_card,183.15.176.83,Bangalore,2025-12-23 23:45:00,6,Different,Chrome,2593.933342834841,13,0.0
13,6577,5,mobile_recharge,76,F,Bangalore,desktop,upi,220.13.227.212,Chennai,2025-11-30 22:00:00,6,Same as billing,Safari,3639.7195077025044,22,0.0
14,9397,0,food_delivery,69,F,Mumbai,desktop,credit_card,209.231.13.210,Hyderabad,2025-12-04 21:15:00,4,Different,Firefox,1856.3989886821146,8,0.0
15,7971,4,mobile_recharge,56,M,Delhi,mobile,wallet,206.212.217.51,Delhi,2025-11-17 15:45:00,1,Same as billing,Edge,18354.45403333343,15,0.0
16,4375,0,food_delivery,58,F,Kolkata,tablet,wallet,16.213.69.242,Jaipur,2025-12-08 20:15:00,4,Different,Chrome,21193.56737091924,14,0.0
17,3809,1,mobile_recharge,46,M,Pune,tablet,net_banking,178.159.175.233,Pune,2025-10-13 01:30:00,3,Different,Firefox,4130.546024905871,13,0.0
18,7081,4,electronics,52,M,Mumbai,mobile,net_banking,116.74.158.176,Mumbai,2026-01-18 10:30:00,5,Same as billing,Safari,4353.421767707133,9,0.0
19,9799,5,books,43,M,Mumbai,desktop,upi,156.79.204.31,Ahmedabad,2025-12-19 10:45:00,3,Same as billing,Chrome,2174.9842585128854,21,0.0
20,1590,2,groceries,49,M,Delhi,desktop,upi,73.203.69.184,Delhi,2025-12-30 23:30:00,2,Different,Chrome,1404.54692616031,10,0.0
21,4777,4,groceries,26,M,Bangalore,tablet,debit_card,251.40.156.82,Jaipur,2026-01-18 02:00:00,7,Different,Safari,2358.385989236548,18,0.0
22,7265,4,clothing,55,M,Pune,tablet,wallet,20.198.122.106,Jaipur,2025-10-30 10:15:00,9,Same as billing,Firefox,211.7098389318174,17,0.0
23,6365,1,groceries,58,M,Mumbai,tablet,debit_card,7.76.228.189,Ahmedabad,2025-11-24 08:00:00,2,Same as billing,Edge,941.1927960907636,12,0.0
24,9994,1,clothing,31,M,Bangalore,tablet,wallet,79.185.123.39,Hyderabad,2026-01-13 19:15:00,6,Same as billing,Chrome,11383.101786442676,23,1.0
25,4077,0,electronics,54,M,Kolkata,desktop,debit_card,241.10.199.226,Lucknow,2025-11-27 12:45:00,8,Different,Chrome,1333.1702392162597,22,0.0
26,2396,5,books,59,M,Mumbai,tablet,debit_card,145.255.251.134,Jaipur,2026-01-18 08:00:00,3,Same as billing,Firefox,2735.3262221349805,9,1.0
27,9877,6,groceries,77,M,Kolkata,mobile,upi,84.101.125.217,Delhi,2025-10-27 10:45:00,7,Same as billing,Chrome,4785.238565294867,15,0.0
28,989,5,electronics,48,M,Delhi,tablet,net_banking,234.178.58.188,Ahmedabad,2025-12-31 20:45:00,6,Same as billing,Safari,1238.432371066731,8,0.0
29,5595,2,food_delivery,33,F,Hyderabad,mobile,wallet,154.67.186.170,Delhi,2025-12-14 15:30:00,5,Different,Safari,43359.568144058954,5,1.0
30,2521,4,clothing,61,F,Kolkata,desktop,debit_card,239.109.201.107,Delhi,2026-01-07 03:45:00,5,Same as billing,Safari,4361.890155337322,18,0.0
31,669,6,books,64,F,Mumbai,tablet,wallet,76.170.41.72,Ahmedabad,2025-10-10 08:15:00,4,Same as billing,Chrome,522.9321544523198,8,0.0
32,3090,0,groceries,70,M,Bangalore,tablet,credit_card,156.188.206.130,Mumbai,2025-11-03 21:30:00,4,Different,Edge,18930.028270261657,23,0.0
33,9703,0,books,38,M,Mumbai,tablet,net_banking,180.145.207.141,Pune,2025-11-24 04:15:00,4,Same as billing,Edge,30851.320133749636,4,1.0
34,7925,4,mobile_recharge,77,M,Pune,mobile,debit_card,125.186.72.45,Mumbai,2025-11-27 13:15:00,1,Different,Firefox,1211.7137557121616,17,0.0
35,2417,4,books,30,M,Kolkata,tablet,debit_card,72.144.152.97,Pune,2026-01-01 18:00:00,4,Different,Safari,39592.81011926434,3,1.0
36,5785,2,clothing,48,F,Pune,desktop,net_banking,51.84.71.67,Chennai,2025-11-10 18:15:00,9,Same as billing,Edge,10885.010696828396,4,0.0
37,1435,6,books,73,M,Pune,desktop,upi,125.36.190.134,Pune,2025-12-04 05:15:00,2,Same as billing,Firefox,2372.303802733713,13,0.0
38,4299,3,food_delivery,37,F,Pune,desktop,debit_card,170.124.64.105,Mumbai,2025-10-09 14:45:00,1,Same as billing,Firefox,6360.513776615899,17,1.0
39,8497,4,mobile_recharge,62,F,Chennai,tablet,net_banking,226.178.190.145,Jaipur,2025-11-17 09:15:00,8,Different,Edge,740.4234116890634,16,0.0
40,1136,1,groceries,68,M,Hyderabad,mobile,credit_card,63.39.219.108,Kolkata,2025-12-15 01:30:00,7,Different,Chrome,5115.37243485557,12,0.0
41,8402,0,electronics,26,F,Hyderabad,mobile,net_banking,222.39.0.71,Jaipur,2025-12-03 18:45:00,8,Same as billing,Firefox,4169.842477017641,17,0.0
42,1628,6,mobile_recharge,79,M,Mumbai,mobile,upi,216.108.102.159,Bangalore,2025-10-07 08:45:00,7,Different,Chrome,2525.5507308407423,12,0.0
43,9368,0,books,18,F,Kolkata,tablet,debit_card,28.237.76.84,Kolkata,2026-01-02 02:30:00,5,Same as billing,Edge,1663.4900766087806,4,0.0
44,7524,2,clothing,72,M,Delhi,desktop,upi,144.87.2.50,Delhi,2025-10-22 18:15:00,4,Same as billing,Chrome,19816.776300351507,23,1.0
45,8078,1,books,37,M,Pune,mobile,wallet,112.45.172.253,Ahmedabad,2026-01-12 01:15:00,2,Different,Edge,3912.352173504238,6,0.0
