transaction_id,user_id,day_of_week,category,age,gender,country,device,payment_method,ip_address,location,transaction_time,item_quantity,shipping_address,browser_info,amount,hour,is_fraud
1,1107,1,home,38,M,Canada,mobile,crypto,189.225.215.45,London,2025-12-11 03:00:00,1,Different,Edge,1596.6539539601354,10,0.0
2,2810,1,electronics,46,M,USA,mobile,bank_transfer,170.118.250.15,Lyon,2025-11-24 19:00:00,9,Same as billing,Safari,445.002092154008,16,0.0
3,2039,5,groceries,52,M,Germany,tablet,credit_card,123.155.216.56,Toronto,2025-10-25 00:45:00,3,Different,Chrome,90.63817022442943,8,0.0
4,9308,3,electronics,45,F,France,tablet,debit_card,51.194.148.126,Toronto,2025-11-25 09:30:00,7,Different,Safari,332.1861659627998,16,1.0
5,1074,0,toys,21,M,Germany,mobile,paypal,29.224.211.132,Toronto,2025-11-23 02:15:00,7,Different,Edge,224.86616217675194,3,0.0
6,2707,0,clothing,18,F,Canada,mobile,paypal,195.74.15.99,Lyon,2025-12-12 01:00:00,1,Different,Chrome,491.93962961489046,0,1.0
7,9005,1,toys,78,M,France,mobile,debit_card,22.204.169.220,Lyon,2025-10-13 00:00:00,7,Same as billing,Safari,432.4334879479665,19,0.0
8,9135,2,books,73,M,Germany,desktop,crypto,45.38.214.1,Berlin,2025-11-30 04:30:00,1,Different,Chrome,767.6484542365334,0,1.0
9,6951,6,groceries,43,F,Canada,tablet,credit_card,50.99.195.4,Montreal,2025-12-12 06:45:00,3,Different,Safari,27.245993750412534,17,0.0
10,9640,6,home,54,M,USA,tablet,credit_card,126.142.152.115,Birmingham,2025-10-11 13:45:00,7,Same as billing,Chrome,473.9408348171382,8,1.0
11,3551,6,clothing,37,M,Germany,tablet,paypal,108.241.192.237,Chicago,2025-11-04 15:30:00,4,Same as billing,Safari,965.3704408459832,2,0.0
12,420,6,toys,67,F,India,mobile,credit_card,183.15.176.83,Birmingham,2025-12-23 23:45:00,6,Different,Firefox,484.2537320324458,1,1.0
13,6577,5,electronics,76,F,UK,mobile,bank_transfer,220.13.227.212,Toronto,2025-11-30 22:00:00,6,Same as billing,Edge,92.60302250810474,7,0.0
14,9397,0,groceries,69,F,France,mobile,credit_card,209.231.13.210,Bangalore,2025-12-04 21:15:00,4,Different,Chrome,1585.872196456418,1,1.0
