transaction_id,user_id,day_of_week,category,age,gender,country,device,payment_method,ip_address,location,transaction_time,item_quantity,shipping_address,browser_info,amount,hour,is_fraud
1,869,6,electronics,68,F,Mumbai,mobile,wallet,112.49.85.85,Delhi,2025-10-27 03:45:00,2,Different,Chrome,86473.67184801081,8,1.0
2,443,2,food_delivery,27,F,Mumbai,tablet,credit_card,73.29.105.51,Chennai,2025-12-13 15:30:00,3,Same as billing,Edge,9570.631449381348,9,1.0
3,6216,4,electronics,38,F,Pune,tablet,net_banking,5.35.43.173,Bangalore,2025-10-24 22:00:00,1,Same as billing,Chrome,125247.819470716,7,0.0
4,2615,4,books,69,M,Delhi,tablet,credit_card,21.203.227.50,Chennai,2026-01-10 00:00:00,4,Different,Safari,32627.5323667157,3,1.0
5,4246,0,clothing,48,F,Bangalore,desktop,debit_card,18.150.103.22,Mumbai,2025-10-10 18:00:00,9,Same as billing,Safari,13748.322167457747,14,0.0
6,1789,3,clothing,30,M,Kolkata,tablet,upi,72.106.245.153,Lucknow,2026-01-15 15:45:00,4,Same as billing,Edge,45401.2561975763,15,0.0
7,9130,1,groceries,78,M,Hyderabad,mobile,net_banking,85.177.40.137,Bangalore,2025-11-30 23:15:00,7,Same as billing,Edge,77162.12648232355,9,0.0
8,1344,4,electronics,18,F,Bangalore,desktop,debit_card,36.137.212.6,Delhi,2026-01-04 00:30:00,2,Different,Safari,10598.66184621898,2,0.0
9,6078,5,food_delivery,18,F,Pune,desktop,credit_card,6.213.76.93,Ahmedabad,2025-10-30 03:15:00,3,Same as billing,Edge,1266.592128559727,16,0.0
10,6149,6,groceries,42,F,Pune,mobile,debit_card,165.229.104.157,Pune,2025-11-24 02:15:00,8,Different,Chrome,3715.0082220060435,8,0.0
11,8375,3,groceries,43,F,Pune,tablet,upi,213.77.218.130,Lucknow,2025-11-12 02:15:00,2,Different,Firefox,69181.1160598103,18,0.0
12,5168,1,electronics,66,F,Hyderabad,desktop,debit_card,99.183.138.103,Lucknow,2025-10-21 16:00:00,2,Different,Chrome,163620.26484092657,2,1.0
13,6848,5,clothing,35,F,Chennai,mobile,debit_card,207.159.60.151,Mumbai,2025-10-11 21:00:00,4,Different,Chrome,8879.99902044751,4,0.0
14,745,5,electronics,45,M,Delhi,mobile,debit_card,161.248.45.95,Pune,2025-10-19 05:45:00,1,Different,Edge,15696.967325543508,16,0.0
15,3343,2,electronics,19,M,Chennai,desktop,net_banking,127.189.141.204,Pune,2025-11-30 10:00:00,2,Same as billing,Firefox,178255.43247614973,4,1.0
16,3338,5,clothing,65,M,Pune,tablet,net_banking,224.125.187.102,Hyderabad,2025-12-30 16:00:00,8,Same as billing,Safari,30799.681623209686,21,0.0
17,2241,0,mobile_recharge,49,F,Chennai,desktop,net_banking,20.23.19.70,Jaipur,2025-10-11 10:00:00,4,Different,Edge,431.53733828511196,7,0.0
18,5417,5,mobile_recharge,77,M,Delhi,tablet,wallet,133.7.226.1,Hyderabad,2025-12-19 09:45:00,5,Different,Firefox,7337.740775756637,1,1.0
19,3850,6,clothing,22,M,Pune,tablet,wallet,193.68.102.100,Kolkata,2025-11-01 20:45:00,9,Different,Safari,16956.325901107637,12,1.0
20,9208,2,groceries,74,M,Hyderabad,desktop,net_banking,26.150.195.205,Mumbai,2025-10-26 00:15:00,3,Same as billing,Chrome,17711.91434064355,21,1.0
21,702,2,food_delivery,27,M,Mumbai,desktop,upi,82.127.245.15,Bangalore,2026-01-24 23:15:00,4,Different,Firefox,2586.032831087375,4,0.0
22,5446,4,food_delivery,46,F,Bangalore,mobile,debit_card,14.61.141.252,Kolkata,2025-10-22 10:45:00,7,Same as billing,Safari,271.2555161537659,11,0.0
23,8706,6,mobile_recharge,28,M,Delhi,tablet,credit_card,196.158.157.123,Hyderabad,2026-01-11 18:30:00,8,Same as billing,Edge,492.61129190560007,11,0.0
24,4187,6,clothing,35,M,Mumbai,mobile,wallet,109.120.246.22,Ahmedabad,2026-01-16 03:15:00,2,Different,Chrome,57469.7617314898,3,1.0
25,7105,3,food_delivery,23,M,Delhi,mobile,wallet,231.166.66.108,Lucknow,2025-10-24 04:30:00,4,Different,Chrome,3315.668055793108,0,1.0
26,7607,4,mobile_recharge,35,M,Pune,mobile,net_banking,118.13.2.141,Hyderabad,2026-01-16 22:30:00,4,Same as billing,Firefox,739.1943989407736,11,0.0
27,3844,0,mobile_recharge,25,F,Chennai,tablet,net_banking,253.237.146.230,Ahmedabad,2025-11-05 07:15:00,3,Same as billing,Edge,274.9663391430279,10,0.0
28,6509,2,books,41,F,Pune,mobile,net_banking,110.106.181.99,Jaipur,2025-11-14 14:00:00,5,Same as billing,Edge,1483.8568915897717,8,0.0
29,6061,2,electronics,38,F,Pune,mobile,debit_card,151.116.57.203,Chennai,2025-12-09 17:30:00,4,Same as billing,Edge,27358.684928249746,11,0.0
30,7369,4,food_delivery,61,M,Hyderabad,mobile,debit_card,190.153.121.16,Mumbai,2025-11-28 12:30:00,3,Same as billing,Firefox,2748.8019462586294,0,0.0
31,2670,5,mobile_recharge,34,F,Bangalore,desktop,upi,207.199.219.26,Jaipur,2026-01-31 18:00:00,8,Different,Edge,142.07148931462507,20,0.0
32,4171,5,mobile_recharge,25,M,Kolkata,tablet,wallet,134.188.220.14,Hyderabad,2025-12-21 09:30:00,4,Same as billing,Edge,767.313700401851,10,0.0
33,7701,6,electronics,23,F,Hyderabad,tablet,upi,191.2.160.70,Ahmedabad,2026-02-03 20:15:00,3,Different,Safari,8252.475499953514,21,0.0
34,7307,3,groceries,75,F,Hyderabad,desktop,wallet,174.25.220.247,Chennai,2026-01-30 08:30:00,8,Different,Safari,40920.08440591381,20,0.0
